"   ","PLANT","COMPONENT_ID","COMPONENT_ID_STATUS","ASSET_ID","ASSET_ID2"
"1","01","1SG2020226482","INSTALLED","100000000410398","100000010000096"
"2","01","1SG2020226484","INSTALLED","100000000410398","100000010000098"
"3","01","1SG2020226483","INSTALLED","100000000410398","100000010000097"
"4","01","1SG2020226500","INSTALLED","100000000410398","100000010000107"
"5","01","1SG2020226499","INSTALLED","100000000410398","100000010000106"
"6","01","1SG2020226504","INSTALLED","100000000410398","100000010000111"
"7","01","1SG2020226503","INSTALLED","100000000410398","100000010000110"
"8","01","1SG2020226495","INSTALLED","100000000410398","100000010000105"
"9","01","1SG2020226492","INSTALLED","100000000410398","100000010000104"
"10","01","1SG2020226491","INSTALLED","100000000410398","100000010000103"
"11","01","1SG2020226490","INSTALLED","100000000410398","100000010000102"
"12","01","1SG2020226487","INSTALLED","100000000410398","100000010000101"
"13","01","1SG2020226486","INSTALLED","100000000410398","100000010000100"
"14","01","1SG2020226485","INSTALLED","100000000410398","100000010000099"
"15","01","1SG2020226501","INSTALLED","100000000410398","100000010000108"
"16","01","1SG2020226502","INSTALLED","100000000410398","100000010000109"
"17","01","1SG2020226553","INSTALLED","100000000410398","100000010000145"
"18","01","1SG2020226556","INSTALLED","100000000410398","100000010000146"
"19","01","1SG2020226557","INSTALLED","100000000410398","100000010000147"
"20","01","1SG2020226567","INSTALLED","100000000410398","100000010000156"
"21","01","1SG2020226566","INSTALLED","100000000410398","100000010000155"
"22","01","1SG2020226565","INSTALLED","100000000410398","100000010000154"
"23","01","1SG2020226564","INSTALLED","100000000410398","100000010000153"
"24","01","1SG2020226563","INSTALLED","100000000410398","100000010000152"
"25","01","1SG2020226562","INSTALLED","100000000410398","100000010000151"
"26","01","1SG2020226561","INSTALLED","100000000410398","100000010000150"
"27","01","1SG2020226560","INSTALLED","100000000410398","100000010000149"
"28","01","1SG2020226559","INSTALLED","100000000410398","100000010000148"
"29","01","1SG2020226569","INSTALLED","100000000410398","100000010000157"
"30","01","1SG2020226578","INSTALLED","100000000410398","100000010000166"
"31","01","1SG2020226577","INSTALLED","100000000410398","100000010000165"
"32","01","1SG2020226576","INSTALLED","100000000410398","100000010000164"
"33","01","1SG2020226575","INSTALLED","100000000410398","100000010000163"
"34","01","1SG2020226574","INSTALLED","100000000410398","100000010000162"
"35","01","1SG2020226573","INSTALLED","100000000410398","100000010000161"
"36","01","1SG2020226572","INSTALLED","100000000410398","100000010000160"
"37","01","1SG2020226571","INSTALLED","100000000410398","100000010000159"
"38","01","1SG2020226570","INSTALLED","100000000410398","100000010000158"
"39","01","1SG2020226581","INSTALLED","100000000410398","100000010000169"
"40","01","1SG2020226580","INSTALLED","100000000410398","100000010000168"
"41","01","1SG2020226579","INSTALLED","100000000410398","100000010000167"
"42","01","1SG2020226603","INSTALLED","100000000410398","100000010000181"
"43","01","1SG2020226604","INSTALLED","100000000410398","100000010000182"
"44","01","1SG2020226598","INSTALLED","100000000410398","100000010000179"
"45","01","1SG2020226594","INSTALLED","100000000410398","100000010000178"
"46","01","1SG2020226593","INSTALLED","100000000410398","100000010000177"
"47","01","1SG2020226592","INSTALLED","100000000410398","100000010000176"
"48","01","1SG2020226591","INSTALLED","100000000410398","100000010000175"
"49","01","1SG2020226590","INSTALLED","100000000410398","100000010000174"
"50","01","1SG2020226589","INSTALLED","100000000410398","100000010000173"
"51","01","1SG2020226585","INSTALLED","100000000410398","100000010000172"
"52","01","1SG2020226584","INSTALLED","100000000410398","100000010000171"
"53","01","1SG2020226582","INSTALLED","100000000410398","100000010000170"
"54","01","1SG2020226601","INSTALLED","100000000410398","100000010000180"
"55","01","1SG2020226507","INSTALLED","100000000410398","100000010000112"
"56","01","1SG2020226508","INSTALLED","100000000410398","100000010000113"
"57","01","1SG2020226510","INSTALLED","100000000410398","100000010000114"
"58","01","1SG2020226511","INSTALLED","100000000410398","100000010000115"
"59","01","1SG2020226512","INSTALLED","100000000410398","100000010000116"
"60","01","1SG2020226513","INSTALLED","100000000410398","100000010000117"
"61","01","1SG2020226514","INSTALLED","100000000410398","100000010000118"
"62","01","1SG2020226515","INSTALLED","100000000410398","100000010000119"
"63","01","1SG2020226517","INSTALLED","100000000410398","100000010000120"
"64","01","1SG2020226518","INSTALLED","100000000410398","100000010000121"
"65","01","1SG2020226519","INSTALLED","100000000410398","100000010000122"
"66","01","1SG2020226526","INSTALLED","100000000410398","100000010000125"
"67","01","1SG2020226525","INSTALLED","100000000410398","100000010000124"
"68","01","1SG2020226521","INSTALLED","100000000410398","100000010000123"
"69","01","1SG2020226528","INSTALLED","100000000410398","100000010000126"
"70","01","1SG2020226529","INSTALLED","100000000410398","100000010000127"
"71","01","1SG2020226530","INSTALLED","100000000410398","100000010000128"
"72","01","1SG2020226531","INSTALLED","100000000410398","100000010000129"
"73","01","1SG2020226533","INSTALLED","100000000410398","100000010000130"
"74","01","1SG2020226534","INSTALLED","100000000410398","100000010000131"
"75","01","1SG2020226535","INSTALLED","100000000410398","100000010000132"
"76","01","1SG2020226538","INSTALLED","100000000410398","100000010000133"
"77","01","1SG2020226541","INSTALLED","100000000410398","100000010000134"
"78","01","1SG2020226542","INSTALLED","100000000410398","100000010000135"
"79","01","1SG2020226543","INSTALLED","100000000410398","100000010000136"
"80","01","1SG2020226545","INSTALLED","100000000410398","100000010000137"
"81","01","1SG2020226546","INSTALLED","100000000410398","100000010000138"
"82","01","1SG2020226547","INSTALLED","100000000410398","100000010000139"
"83","01","1SG2020226548","INSTALLED","100000000410398","100000010000140"
"84","01","1SG2020226549","INSTALLED","100000000410398","100000010000141"
"85","01","1SG2020226550","INSTALLED","100000000410398","100000010000142"
"86","01","1SG2020226551","INSTALLED","100000000410398","100000010000143"
"87","01","1SG2020226552","INSTALLED","100000000410398","100000010000144"
"88","01","1SG2020226456","INSTALLED","100000000410398","100000010000072"
"89","01","1SG2020226457","INSTALLED","100000000410398","100000010000073"
"90","01","1SG2020226458","INSTALLED","100000000410398","100000010000074"
"91","01","1SG2020226459","INSTALLED","100000000410398","100000010000075"
"92","01","1SG2020226460","INSTALLED","100000000410398","100000010000076"
"93","01","1SG2020226461","INSTALLED","100000000410398","100000010000077"
"94","01","1SG2020226462","INSTALLED","100000000410398","100000010000078"
"95","01","1SG2020226463","INSTALLED","100000000410398","100000010000079"
"96","01","1SG2020226464","INSTALLED","100000000410398","100000010000080"
"97","01","1SG2020226465","INSTALLED","100000000410398","100000010000081"
"98","01","1SG2020226466","INSTALLED","100000000410398","100000010000082"
"99","01","1SG2020226467","INSTALLED","100000000410398","100000010000083"
"100","01","1SG2020226468","INSTALLED","100000000410398","100000010000084"
"101","01","1SG2020226469","INSTALLED","100000000410398","100000010000085"
"102","01","1SG2020226470","INSTALLED","100000000410398","100000010000086"
"103","01","1SG2020226471","INSTALLED","100000000410398","100000010000087"
"104","01","1SG2020226472","INSTALLED","100000000410398","100000010000088"
"105","01","1SG2020226473","INSTALLED","100000000410398","100000010000089"
"106","01","1SG2020226474","INSTALLED","100000000410398","100000010000090"
"107","01","1SG2020226475","INSTALLED","100000000410398","100000010000091"
"108","01","1SG2020226476","INSTALLED","100000000410398","100000010000092"
"109","01","1SG2020226478","INSTALLED","100000000410398","100000010000093"
"110","01","1SG2020226479","INSTALLED","100000000410398","100000010000094"
"111","01","1SG2020226481","INSTALLED","100000000410398","100000010000095"
"112","01","1SG2020226438","INSTALLED","100000000410398","100000010000055"
"113","01","1SG2020226439","INSTALLED","100000000410398","100000010000056"
"114","01","1SG2020226440","INSTALLED","100000000410398","100000010000057"
"115","01","1SG2020226441","INSTALLED","100000000410398","100000010000058"
"116","01","1SG2020226442","INSTALLED","100000000410398","100000010000059"
"117","01","1SG2020226443","INSTALLED","100000000410398","100000010000060"
"118","01","1SG2020226421","INSTALLED","100000000410398","100000010000038"
"119","01","1SG2020226422","INSTALLED","100000000410398","100000010000039"
"120","01","1SG2020226423","INSTALLED","100000000410398","100000010000040"
"121","01","1SG2020226424","INSTALLED","100000000410398","100000010000041"
"122","01","1SG2020226425","INSTALLED","100000000410398","100000010000042"
